2	128	120	0
1	0	2	0	4	0	6	0	9	0	12	0	15	0	19	0	23	0	27	0	32	0	36	0	41	0	46	0	51	0	56	0	61	0	66	0	71	0	75	0	79	0	83	0	87	0	90	0	93	0	95	0	97	0	98	0	99	0	100	0	100	0	99	0	98	0	97	0	95	0	93	0	90	0	87	0	83	0	79	0	75	0	71	0	66	0	61	0	56	0	51	0	46	0	41	0	36	0	32	0	27	0	23	0	19	0	15	0	12	0	9	0	6	0	4	0	2	0	1	0	
1	0	2	1	4	2	5	3	7	5	9	7	11	11	12	15	13	19	13	24	12	29	11	35	8	41	5	46	0	51	-6	56	-12	60	-19	63	-27	65	-35	66	-44	66	-53	64	-61	61	-69	57	-77	51	-84	45	-90	37	-94	29	-98	19	-99	10	-100	0	-99	-10	-97	-19	-93	-28	-88	-36	-82	-44	-75	-50	-67	-55	-59	-59	-50	-61	-42	-62	-33	-62	-25	-61	-18	-58	-11	-55	-5	-51	0	-46	4	-41	7	-36	9	-30	10	-25	11	-20	10	-16	10	-12	8	-8	7	-6	5	-3	3	-2	2	-1	1	0	
1	0	2	1	3	3	3	5	3	8	2	11	0	15	-4	18	-9	21	-15	23	-22	22	-30	20	-38	16	-45	9	-51	0	-55	-11	-56	-23	-55	-37	-50	-50	-42	-62	-30	-73	-16	-81	0	-87	18	-88	35	-86	53	-79	69	-69	82	-55	92	-38	98	-19	100	0	98	19	91	38	81	54	67	67	51	77	34	83	17	85	0	83	-15	78	-29	69	-39	59	-47	47	-51	34	-52	22	-50	10	-46	0	-41	-8	-34	-14	-26	-18	-19	-19	-13	-19	-7	-17	-3	-15	0	-12	2	-9	2	-6	2	-3	2	-2	1	-1	
1	1	1	2	2	4	1	6	-2	9	-6	10	-11	11	-17	9	-22	4	-27	-3	-29	-12	-28	-23	-23	-34	-13	-44	0	-51	16	-54	34	-51	51	-42	65	-27	75	-7	78	15	73	39	61	61	42	79	18	91	-9	95	-37	90	-62	76	-83	55	-96	29	-100	0	-95	-29	-82	-55	-62	-75	-36	-88	-9	-92	18	-88	41	-76	59	-59	70	-37	74	-15	70	7	61	25	47	39	31	47	15	49	0	46	-12	40	-20	30	-25	20	-25	10	-23	2	-18	-4	-13	-7	-8	-8	-4	-8	-1	-6	0	-4	1	-2	1	-1	
1	1	1	2	0	4	-2	6	-6	6	-11	4	-15	0	-17	-7	-16	-16	-10	-25	0	-32	14	-34	29	-29	43	-18	51	0	52	22	43	43	25	61	0	71	-29	69	-56	56	-77	32	-87	0	-83	-34	-66	-66	-36	-88	0	-97	38	-91	70	-70	92	-38	100	0	92	38	70	70	37	90	0	95	-35	86	-64	64	-80	33	-83	0	-73	-30	-53	-53	-27	-65	0	-66	23	-56	40	-40	47	-20	46	0	38	16	26	26	12	29	0	27	-9	21	-13	13	-14	6	-12	0	-8	-3	-4	-4	-2	-4	0	-2	0	-1	
1	1	0	2	-2	4	-5	4	-9	2	-11	-3	-11	-11	-5	-18	4	-22	17	-21	29	-12	36	4	34	23	22	41	0	51	-27	50	-51	34	-66	6	-65	-27	-48	-58	-15	-78	24	-80	61	-61	86	-26	91	18	73	60	37	90	-10	98	-55	83	-88	47	-100	0	-88	-47	-55	-82	-10	-97	36	-88	72	-59	88	-18	83	25	59	59	23	76	-15	74	-45	55	-61	25	-61	-6	-47	-31	-24	-45	0	-46	19	-36	30	-20	32	-3	25	10	15	18	4	18	-4	14	-8	8	-8	3	-6	-1	-3	-2	-1	-2	0	-1	
0	1	0	2	-3	3	-6	1	-8	-3	-6	-10	0	-15	10	-16	21	-9	27	5	22	22	7	36	-16	38	-38	26	-51	0	-47	-31	-23	-56	13	-65	50	-50	74	-15	73	30	46	69	0	87	-50	75	-86	35	-93	-19	-69	-69	-19	-97	38	-92	83	-56	100	0	83	55	38	91	-19	95	-67	67	-91	18	-83	-34	-48	-72	0	-83	44	-66	69	-29	69	14	47	47	12	60	-22	52	-43	28	-46	0	-34	-23	-14	-34	6	-31	19	-19	22	-4	17	7	8	13	0	12	-5	7	-6	2	-4	-1	-2	-2	0	-1	
0	1	-1	2	-4	2	-6	-2	-5	-7	1	-12	11	-11	19	-2	19	13	8	26	-12	29	-32	17	-41	-8	-29	-36	0	-51	36	-43	60	-12	58	31	27	65	-22	72	-66	44	-83	-8	-61	-61	-9	-89	51	-77	91	-28	90	37	46	87	-19	98	-77	63	-100	0	-77	-63	-19	-97	46	-86	88	-36	89	27	50	75	-8	86	-59	59	-79	8	-62	-42	-20	-68	25	-61	54	-29	55	11	33	40	0	46	-26	32	-36	7	-28	-15	-10	-25	7	-22	16	-10	15	1	8	8	1	9	-3	5	-4	1	-2	-1	0	-1	
0	1	-2	2	-4	0	-4	-4	0	-9	8	-8	15	0	13	13	0	23	-19	19	-32	0	-26	-26	0	-41	33	-33	51	0	40	40	0	61	-47	47	-71	0	-53	-53	0	-79	59	-59	87	0	64	64	0	93	-67	67	-97	0	-70	-70	0	-99	71	-71	100	0	70	70	0	98	-69	69	-95	0	-66	-66	0	-90	61	-61	83	0	56	56	0	75	-50	50	-66	0	-43	-43	0	-56	36	-36	46	0	29	29	0	36	-22	22	-27	0	-16	-16	0	-19	11	-11	12	0	6	6	0	6	-3	3	-2	0	-1	-1	
0	1	-2	1	-4	-2	-2	-6	5	-7	12	-1	11	11	-2	19	-19	13	-26	-8	-12	-29	17	-32	41	-8	36	29	0	51	-43	36	-60	-12	-31	-58	27	-65	72	-22	66	44	8	83	-61	61	-89	-9	-51	-77	28	-91	90	-37	87	46	19	98	-63	77	-100	0	-63	-77	19	-97	86	-46	88	36	27	89	-50	75	-86	8	-59	-59	8	-79	62	-42	68	20	25	61	-29	54	-55	11	-40	-33	0	-46	32	-26	36	7	15	28	-10	25	-22	7	-16	-10	-1	-15	8	-8	9	1	3	5	-1	4	-2	1	-1	0	
